3,Wall St. Bears Claw Back Into the Black (Reuters),"Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again."
4,Sophisticated Radar System Protects Bush (AP),"AP - The reason Brown International got into the business of guarding the president with a sophisticated radar command center is really quite simple, its officers say. Repairing televisions just wasn't paying enough."
2,Jones Files \$25 Million Defamation Suit Against Conte,Sprint superstar Marion Jones filed a \$25 million defamation lawsuit against Bay Area Laboratory Co-Operative (BALCO) founder Victor Conte Jr.
1,Kidnapped UN hostages call home,"KABUL - Two of three UN workers kidnapped in Afghanistan telephoned home to say they are OK and one expressed hope she soon would be free, officials and relatives said Tuesday."
2,America pays big price for small mistakes,"She was shaking her hips, twirling her hands, letting that high-wattage smile shine and turning the arena into her own little disco. "
4,Fable falls short of legend,Role-playing-game Fable fails to live up to hype that it would re-define the video game genre.
2,Wolfsburg remains top,"Martin Petrov put the home side ahead early, but Kaiserslautern #39;s Carsten Jancker made it 1-1 with just eight minutes remaining."
1,Clinton Making Satisfactory Recovery,"NEW YORK - Breathing on his own and sipping liquids, former President Bill Clinton continued to make what doctors called a satisfactory recovery after undergoing a heart operation to bypass four severely clogged arteries.    Clinton was ""resting comfortably"" in intensive care at New York Presbyterian Hospital/Columbia Tuesday, ""awake and alert and talking with his family,"" according to a statement by his office..."
2,Houston...We Have Liftoff!,"In a game featuring countless years of playoff futility for both teams, though with vastly different barometers of success, the Atlanta Braves could not withstand the onslaught of the Killer Bs as the Houston Astros took the decisive Game 5 of "
2,Allardyce makes most of meagre resources,Sam Allardyce is continuing to prove you do not have to spend millions to feast at the top table. The Bolton manager #39;s ethic is simple.
1,"Crisis Over, Afghanistan Heads for Vote Count", KABUL (Reuters) - Afghanistan was preparing on Tuesday to  count votes after rivals of President Hamid Karzai said they  had withdrawn their rejection of the weekend presidential poll.
2,Favre makes short work of Bears in rout,"CHICAGO -- Brett Favre worked up a sweat, threw two touchdowns passes in a short workday, and got the Green Bay Packers tuned up for the playoffs."
2,"Jeter Walks, Runs and Pulls Yanks to Victory","Derek Jeter, who suffered a bone bruise on his left elbow when he was plunked by a pitch Monday, not only played Tuesday, but he turned out to be the star."
4,ShellShock wins 'Nam battle,"A current slew of games suggest that the Vietnam War is the conflict of the moment, with Conflict: Vietnam and Shellshock: Nam '67 out this week."
3,Nikkei Share Average Falls Nearly 1 Pct (Reuters),Reuters - Japan's Nikkei share average fell nearly\one percent on Tuesday after the dollar's retreat below 103 yen\put pressure on exporters such as Sony Corp.
2,Fernandez Racing Post-Race Notes: Toyota Indy 400,"Adrian Fernandez scored his third career IRL IndyCar Series win this afternoon, claiming victory in the Toyota Indy 400 at California Speedway."
1,The aftermath of the Grozny bomb,Russian President Vladimir Putin has made a surprise visit to wartorn Chechnya ahead of presidential elections next week. He laid a wreath at the grave of the province #39;s recently assassinated Russian-backed leader.
2,Eriksson to put caution to one side,"IF ONE stereotype doesnt fit, try another. Sven Goran Eriksson, pilloried in the summer for being an over-cautious Swede, inculcated during his Serie A career with a craven inclination to defend a slender "
1,"Nobel peace laureate: Struggle for peace, environmental &lt;b&gt;...&lt;/b&gt;","Nobel Peace Prize laureate Wangari Maathai defended her selection as the first environmentalist to win the prestigious award, saying Thursday it would help others understand that the struggle for peace begins with protecting the "
1,Panama state of emergency after fatal mudslides,"Panama declared a state of emergency on Saturday, a day after torrential rains and mudslides killed at least 14 people and wrecked or damaged the homes of about 10,000 people."
1,"Was Bush Wired? Ridiculous, Campaign Says","CHANHASSEN, Minn. - Campaign aides to President Bush on Saturday laughed off rampant Internet speculation about whether the president was wired to get help from advisers during his first debate with Sen..."
1,Britain Considers U.S. Request for More Iraq Help (Reuters),"Reuters - Britain is considering a U.S. request to\move troops into more potentially dangerous areas of Iraq, a\politically charged move which has re-ignited anger over Prime\Minister Tony Blair's support for the war."
1,Iraq seeks to extend arms-for-cash,BAGHDAD -- Iraqi Prime Minister Ayad Allawi announced plans yesterday to extend a cash-for-weapons program for Shi'ite fighters in Baghdad's Sadr City to cities nationwide in an attempt to disarm the country.
3,Google Raises \$1.67 Bln in Cut-Price IPO," NEW YORK/SAN FRANCISCO (Reuters) - Google Inc., the most  popular Internet search engine, raised \$1.67 billion on  Wednesday in its long-awaited IPO after slashing the price and  size of an offer beset by missteps and poor market conditions."
2,Warner #39;s benching shows that Rams made right choice,"Back here in Kurt Warner #39;s adopted home town, the varying opinions on the cause and effects of the meteoric rise and fall of his storybook football life always will be blurred under so many dreamy - and divergent - emotional clouds."
2,"World Cup of Hockey 2004 - semifinal games, St. Paul and Toronto","The scoop: Finally! For the first time in this championships, the team that scored first did NOT win the game. Nursing a 1-0 lead starting the third period, the USA surrendered two third-period goals and lost "
3,SEC eyes best-price rule for exchanges,"The Securities and Exchange Commission may require brokers to obtain the best prices for their clients' stock trades, a practice now followed only by the New York Stock Exchange, people familiar with the matter said yesterday."
3,NYC tops Boston in convention-related spending ,"NEW YORK -- The city and host committee wanted nothing more than to show they could put on a national political convention better than Boston, and by many measures they did."
4,Nokia demos first mobile call using IPv6,"HONG KONG -- Nokia Corp. has developed a prototype handset that supports Mobile IPv6 (Internet Protocol version 6), a version of the protocol that will help to improve the quality of VOIP (voice over IP), streaming video and other applications delivered to wireless devices, the company said Tuesday."
2,An Afterthought for the A.C.C. Becomes Its Champ,The No. 10 Hokies completed their inaugural season in the Atlantic Coast Conference with the league's outright championship.
4,GeekTech: Picking Your Perfect PCI Express PC,Intel-based PCs are shipping now and AMD systems with the technology are on the way.
4,New Report Confirms Online Sites Are Cutting Into Papers' Classified Ads (Editor and Publisher),"Editor and Publisher - NEW YORK Craigslist and eBay are now cutting into newspaper classified advertising, according to a new report released today by Classified Intelligence, which surveyed 36 newspapers throughout the United States."
3,"Make inheritance tax fairer, urges thinktank",Tony Blair and Gordon Brown will today be urged to risk the wrath of wealthier voters by reforming the tax laws on inheritance so as to close loopholes on gifts that allow the better-off to escape the Treasury #39;s grip.
3,IMF policymakers open annual meeting under heavy security,"WASHINGTON, Oct 2 (AFP) - IMF policymakers, gathering under heavy police guard, went behind closed doors here Saturday to assess near-term global economic prospects threatened by rising oil prices."
2,Van Nistelrooy charged over Cole tackle,Ruud van Nistelrooy has been charged with serious foul play for a tackle on Ashley Cole during Manchester United #39;s 2-0 victory over Arsenal.
1,"Pope Beatifies Emperor, Nun, Three Others (AP)","AP - Pope John Paul II on Sunday moved five Catholics closer to sainthood, including Austria's last reigning emperor and a German nun whose graphic visions of Christ's suffering helped inspire the blockbuster movie ""The Passion of the Christ."""
2,Johnsen eyes Magpies move,New Newcastle boss Graeme Souness has targeted the former Manchester United defender to cover for the loss of Jonathan Woodgate to Real Madrid.
2,THE GAMES NOTEBOOK,"Thessaloniki, Greece. Iraq #39;s quest for its first Olympic medal since 1960 came up short yesterday when its surprising soccer team lost 1-0 to Italy in the bronze-medal game."
1,Europe Bloc Says Turks Can Apply; Long Road Seen,"The European Union said Friday that Turkey could join its ranks as soon as 10 years from now, but warned that it must overcome widespread public opposition to a Muslim country #39;s entering the European fold."
4,"Before Applying, Check Out the Blogs",Both employers and prospective employees are finding that blogging can be useful in the job search process.
1,Palestinian candidates shaping ballot,"RAMALLAH, West Bank -- Palestinians began registering candidates yesterday for a presidential election to succeed Yasser Arafat, while officials warned that the vote may be delayed if Israel does not halt military activities."
1,"UN is urged to enforce Sudan arms embargo, add sanctions","NAIROBI, Kenya -- The UN Security Council should impose sanctions on Sudan's government and enforce an arms embargo on pro-government Arab militias accused of ethnic cleansing in the country's Darfur region, a human rights group and aid agencies said yesterday."
2,Tough road awaits Lehman,"Anticipating the US Ryder Cup team will be the underdog - for perhaps the first time in decades - in the 2006 matches at The K Club outside Dublin, Ireland, newly named US captain Tom Lehman figures that will give his squad a psychological advantage and "
3,China pledges \$20B to Argentina,"China has pledged to invest \$20 billion in Argentina in the next 10 years, La Nacion reported Wednesday. The announcement came during the first day of a two-day visit "
3,Nortel Reports Preliminary Results (Reuters),"Reuters - Nortel Networks Corp. (NT.TO) delivered\long-awaited preliminary results for the first half of 2004 on\Thursday that showed estimated first and second quarter\earnings between nil and 1 cent per share, and North America's\biggest telecom equipment supplier said it would cut about\3,500 jobs."
2,Big East Sets Schedule,The Big East Conference announces its schedule plans for next season when it expands to 16 teams. The conference will retain a one-division regular season structure.
2,Cricket: Australian cricketers to wear black armbands in Miller #39;s &lt;b&gt;...&lt;/b&gt;,"SYDNEY : Australia #39;s cricket team will wear black armbands in the second Test against India in Madras in respect for one of Australia #39;s greatest cricketers Keith Miller, Cricket Australia said."
1,"Missile defence, just a hiccup in U.S., takes on political life in Canada (Canadian Press)","Canadian Press - OTTAWA (CP) - Ballistic missile defence, a mere political hiccup south of the border even in an American presidential year, is showing surprising strength as a topic of public debate in Canada."
3,Insurers in probe halt use of incentive fees,"Two major insurance companies named in the New York attorney general #39;s investigation into questionable sales practices have discontinued the use of incentive fees, which are at the center of the probe."
1,"Militants Threaten to Kill U.S., UK Hostages in Iraq"," BAGHDAD (Reuters) - Insurgents threatened to kill two  Americans and a Briton unless the United States freed Iraqi  women prisoners, Al Jazeera said Saturday, and a suicide car  bomb killed 23 people outside Iraqi National Guard offices."
4,Bacteria Turn Toxins Into Plastic,A team of Irish scientists develops a strain of bacteria that can convert a toxic byproduct of the Styrofoam manufacturing process into biodegradable plastic. By Rowan Hooper.
4,Broadcom Chipsets Expand Wi-Fi Coverage Areas,"Broadcom said its new chips will operate at the highest transmission rate possible for a longer time than currently available chips, which are quicker to shift to lower data rates in order to maintain clear transmissions."
2,Chiefs Trim Roster to 53 (AP),AP - The Kansas City Chiefs terminated the contract of kicker Morten Andersen and put middle linebacker Mike Maslowski on injured reserve Sunday.
2,Dulko an easy winner in Beijing,"Beijing, China (Sports Network) - Gisela Dulko of Argentina posted a straight- set victory over Hungarian Aniko Kapros in the first round of the \$585,000 China Open."
3,Dairy firm in talks to sell stake,"Scottish dairy firm Robert Wiseman is in talks about selling a 15 stake in the company to farmers #39; co-operative First Milk. The firm said the price of any deal is expected to be 250 pence per share, a 10 premium on Friday #39;s closing price."
4,Sasser kid charged with computer sabotage,"The self-confessed author of the infamous Sasser worm has been charged with computer sabotage. Sven Jaschan, 18, was arrested in the village of Waffensen near Rotenburg, in northern Germany, in connection "
3,Ford Recalls Econoline Vans to Fix Brakes,"&lt;p&gt;\&lt;/p&gt;&lt;p&gt; DETROIT (Reuters) - Ford Motor Co. &lt;F.N&gt; said on Thursday\it is recalling 234,208 Econoline vans in North America to fix\a defect in the anti-lock brake unit that can spark fires even\when the vehicles are parked.&lt;/p&gt;"
2,Sports: Astros 11 Reds 5,"HOUSTON Houston pitcher Brandon Backe used his arm and his bat to lead the Astros past Cincinnati 11-to-5. Backe allowed one run in seven innings while on the mound and belted a two-run homer, his first in the majors."
4,Amazon burning makes Brazil a leading polluter,"has made the country one of the world #39;s leading polluters, a long-delayed government report shows. up to 30 percent of the planet #39;s animal and plant species."
1,"U.S., Shiites Meet After Deadly Clashes (AP)","AP - U.S. military officials and representatives of rebel Shiite cleric Muqtada al-Sadr held talks Sunday aimed at reducing violence in the restive Baghdad slum of Sadr City, a day after clashes there killed 10 people, officials said. British forces in the southern city of Basra, also the site of recent fighting, held similar talks with al-Sadr officials there."
1,"My hope for the Middle East, by Powell","Colin Powell, the outgoing American secretary of state, voiced hopes yesterday for a revival in the Middle East peace process following his first meeting with Israeli and Palestinian leaders in more than 18 months."
3,Summary Box: Delphi Corp. prepares for tough start to 2005,"THE SITUATION: Squeezed by rising materials and health care costs and lower vehicle production, No. 1 auto supplier Delphi Corp. plans to cut 8,500 jobs worldwide next year after eliminating more than 9,000 in 2004."
4,IT Heavyweights Drive New Web-Services Spec,"AMD, Dell, Intel, Microsoft and Sun Microsystems have joined forces on Web Services Management, a new specification that promises to simplify systems management."
3,"Oracle wins PeopleSoft battle, but war not at end","Oracle won a key legal victory in its quest to buy PeopleSoft last week, but the grueling war for control of its software rival is far from over, industry analysts say."
3,Court OKs Air Canada Restructuring Plan,"A Canadian court approved Air Canada #39;s (AC.TO: Quote, Profile, Research) plan of arrangement with creditors on Monday, clearing the way for the world #39;s 11th largest airline to emerge from bankruptcy protection at the end of next month "
3,Bank of England warns on currency,"Uncertainty about future foreign exchange moves and what impact they might have on interest rates and asset prices is one possible risk to a stable outlook for the financial system, the Bank of England said on Monday."
1,Stocks to Open Up As Oil Prices Pull Back,NEW YORK - U.S. stocks are seen somewhat higher at the open Friday with a pullback in oil prices...
2,Green Struggles to Mold Winner in Arizona (AP),AP - Taking the Minnesota Vikings to the playoffs is one thing. Turning the Arizona Cardinals into a winner is quite another.
1,Nader: Social Ills Deadlier Than Terror (AP),"AP - Independent presidential candidate Ralph Nader told supporters Saturday that a far larger number of Americans die each year from poverty, hunger, pollution, dangerous jobs or poor access to high-quality health care than terrorism."
1,Chirac Sees Opportunity in China #39;s Economic Surge,"French President Jacques Chirac declared on Saturday that France was a natural trade partner to China and, amid a flurry of air, rail and energy "
1,EU and Turkey Seal Historic Deal on Entry Talks, BRUSSELS (Reuters) - The European Union and Turkey struck  an historic deal on Friday to start talks next year on  admitting the vast Muslim nation to the bloc after last-minute  haggling over Ankara's relationship with EU member Cyprus.
1,Ohio Has Clearer Picture of Ballots Now (AP),"AP - Most of the presidential election provisional ballots rejected so far in Ohio came from people who were not even registered to vote, election officials said after spending nearly two weeks poring over thousands of disputed votes."
2,Mickelson Benched by Sutton at Ryder Cup," BLOOMFIELD HILLS, Michigan (Reuters) - Phil Mickelson was  relegated to the Ryder Cup sidelines by U.S. captain Hal Sutton  on Friday after the Masters champion and partner Tiger Woods  slumped to two defeats at Oakland Hills."
2,"COL FB: Maryland 20, Florida State 17",Joel Statham passed for for 333 yards Saturday as Maryland posted a 20-17 upset of No. 5 Florida State -- its first victory over the Seminoles.
1,Plane Carrying NBC President Ebersol Crashes in Colorado,"N.B.C. Sports Chairman and President Dick Ebersol survived a charter plane crash that killed at least two people, NBC said in a statement."
1,"Suicide car bomb, clashes with insurgents leave at least 10 dead &lt;b&gt;...&lt;/b&gt;","A suicide attacker drove his bomb-laden car into a US convoy during fighting Wednesday in a northern town, where hospital officials said at least 10 Iraqis were killed amid a wave of violence across Iraq #39;s Sunni Arab heartland."
3,NZ stocks: Down-time listings hold some interest,between results and annual meetings - the NZX is keeping investors interested with a small flurry of listings over the week ahead.
2,Randall rallies No. 22 Va. Tech,Virginia Tech just couldn #39;t seem to get going. There were turnovers. There were botched plays. There were missed opportunities.
1,Radical Shiite Cleric  #39;Accepts Peace Plan #39;,If the agreement is fulfilled  and al-Sadr has made contradictory statements in the past  it would resolve a crisis that had angered many of Iraq #39;s majority Shiites and threatened to undermine the fledgling interim government of Prime Minister ...
3,"Vornado Buys 4.3 Pct. Stake, Shares Soar"," NEW YORK (Reuters) - Shares of Sears, Roebuck and Co. were  up about 20 percent on Friday after real estate company Vornado  Realty Trust said it raised its stake in the retailer, a step  that could mean Sears plans to convert some of its real estate  assets into cash."
2,Knicks edge plucky Hawks in OT,"ATLANTA (Ticker) -- After being cold from the arc through four quarters, Jamal Crawford was clutch in overtime. Crawford #39;s 3-pointer with 3.3 seconds remaining helped the New York Knicks post a 110-109 victory "
4,Safety concerns spark Linux drive in Iran,"Iran has become the latest country to edge towards ditching the ubiquitous Microsoft computer operating system in favor of the open-source Linux solution, even if its refusal to abide "
4,"Nokia, Intel Join Forces to Develop Symbian Phones"," AMSTERDAM/LONDON (Reuters) - Intel and Nokia will jointly  develop smart phones that run on the Symbian operating system,  the two tech giants said on Tuesday, unveiling their first  major cooperative effort in cell phones."
2,Callahan says change in offense has been smooth,"Take away the glut of turnovers, and Bill Callahan says Nebraska #39;s transition from the triple-option to the West Coast offense has gone smoothly."
1,Storm Pounds Appalachian Region With Rain,"Heavy rain and wind from what was once Hurricane Ivan assaulted the southern Appalachian region Friday, washing away homes and killing at least three people."
2,Athletics: It #39;s Britain by a vest thickness,"ATHENS - Britain took a shock gold in the men #39;s 4x100m relay, pipping favourites the United States by 100th of a second. Mark Lewis-Francis held off 2000 Olympic 100m champion Maurice Greene in a blistering last leg to clinch the gold in 38."
4,iPod is the only clear winner?,"While Apple is cruising along, other computer outfits are frantically trying to crack the consumer-electronics nut. Dell (DELL ), Hewlett-Packard (HPQ ) and, yes, even Gateway (GTW ) are all pushing new products "
3,Forest Laboratories 2Q Earnings Rise,"Pharmaceutical maker Forest Laboratories Inc. on Monday said second-quarter earnings rose 60 percent as sales grew for its principal brands, and the company raised its fiscal 2005 earnings guidance."
1,Iraqi forces  #39;seize Haifa Street terrorist #39;,"Iraqi security forces today arrested a suspected terrorist operating on Baghdad #39;s blood-soaked Haifa Street, an Iraqi commander said."
1,Jailed militant to seek office,"Firebrand uprising leader Marwan Barghouthi has decided to run for Palestinian President from his Israeli jail cell, says an official of his Fatah faction."
4,Creative Zen Micro 5GB music player,&lt;strong&gt;&lt;cite&gt;Reg&lt;/cite&gt; review&lt;/strong&gt; Mobile phone styling comes to the MP3 world
1,"Karzai declares Afghanistan and Pakistan ""brothers in fighting terror"" (AFP)","AFP - Pakistan and Afghanistan have reaffirmed they are partners in fighting terrorism, Afghan President Hamid Karzai declared at the end of a two-day visit."
1,Suspected N.Koreans Enter S.Korean China Mission," BEIJING (Reuters) - Twenty men, women and children claiming  to be North Koreans broke into the South Korean consulate in  Beijing Friday seeking asylum, a diplomatic source said."
1,Death toll of Salvadoran jail riot rises to 30,"MEXICO CITY, Aug. 18 (Xinhuanet) -- A riot taking place Wednesday at La Esperanza Jail, in Mariona, in the outskirts of El Salvador,left a toll of 30 dead and 28 injured, with six grenades exploding. "
2,Real run out of gas against Deportivo,Real Madrid paid the price for their midweek Champions League exertions as they slipped to a 1-0 defeat at home to Deportivo Coruna in the Primera Liga on Sunday.
2,Brown #39;s available,The Yankees were so encouraged after Kevin Brown threw a bullpen session Friday that they put off announcing their starter for Sunday #39;s game one more day.
2,Sale nearly set for NBAs Cavaliers,"Get INQ7 breaking news on your Smart mobile phone in the Philippines. Send INQ7 BREAKING to 386. CLEVELAND, Ohio, United States of America -- Cleveland Cavaliers owner Gordon Gund is involved in contract talks "
1,Stocks Expected to Fall on Alcoa Report,"NEW YORK - Stock prices were expected to drop after the opening bell Friday as investors stay cautious on the corporate earnings picture, with Alcoa Inc. likely casting a shadow in early trading..."
1,36pc babies born underweight,About 50 percent of the children in Bangladesh are malnourished while 36 percent of the babies are born underweight. The country has around six million working children and about 2.5 lakh children die every 
1,Crisis in Darfur,Those who organized and attended a vigil in downtown Winston-Salem Wednesday were right to try to raise awareness of the atrocities that continue in the Darfur region of Sudan.
1,At Least 70 Killed in Iraq Attacks,"The worst attack was a car bomb explosion outside a police training center in Baghdad. At least 47 people, mostly new recruits, were killed and more than 100 wounded."
2,Sauber to launch C24 in Malaysia,"The Sauber Petronas team will be launching its new C24 chassis in Kuala Lumpur on January 11 2005, to celebrate the 10th anniversary of Petronas #39;s involvement in Formula 1. The Malaysian oil and gas corporation began its association with Sauber in 1995 "
4,Researcher: Canola Oil Kills Grasshoppers (AP),"AP - Raw canola oil can combine with a fungus to get rid of grasshoppers, a researcher says. Stefan Jaronski, who works at the Agricultural Research Service in Sidney, Mont., has found that the raw canola oil has fatty acids that will attract grasshoppers to deadly fungi known as Beauveria bassiana and Metarhizium anisopliae."
4,"Sun, Novell and Red Hat Back AMD Dual-Core Chips","Holger Dyroff, vice president of product management for SuSE Linux at Novell, said in a statement:  quot;Novell #39;s SuSE Linux Enterprise Server is the right platform to benefit from the advantages "
3,Fix-income deals hurt earnings at JPMorgan,"NEW YORK JPMorgan Chase, the second-largest US bank, has surprised Wall Street with a sharp drop in third-quarter earnings. The bank, which reported the result on Wednesday, attributed the weaker performance to poor results in fixed-income trading."
3,Baker: Callaway CEO Adds Two New Executive Feathers To Cap,"Wearing many tam-o #39;-shanters. Callaway Golf (nyse: ELY - news - people ) executive William C. Baker will take the mantles of president and chief operating officer from Patrice Hutin, the company announced Monday."
3,Medtronic Net Up on Higher ICD Sales,"CHICAGO (Reuters) - Medtronic Inc. (MDT.N: Quote, Profile, Research) on Wednesday said its quarterly earnings rose on surprisingly brisk demand for devices that slow racing heartbeats, offsetting a weaker-than-expected performance in some ..."
